WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_003f0102030405000000ffff_phase,ant1_003f0102030405000000ffff_rssi,ant1_00400102030405000000ffff_phase,ant1_00400102030405000000ffff_rssi,ant1_00410102030405000000ffff_phase,ant1_00410102030405000000ffff_rssi,ant1_00420102030405000000ffff_phase,ant1_00420102030405000000ffff_rssi,ant1_00430102030405000000ffff_phase,ant1_00430102030405000000ffff_rssi,ant1_00440102030405000000ffff_phase,ant1_00440102030405000000ffff_rssi,ant1_00450102030405000000ffff_phase,ant1_00450102030405000000ffff_rssi,ant1_00460102030405000000ffff_phase,ant1_00460102030405000000ffff_rssi,ant4_003f0102030405000000ffff_phase,ant4_003f0102030405000000ffff_rssi,ant4_00400102030405000000ffff_phase,ant4_00400102030405000000ffff_rssi,ant4_00410102030405000000ffff_phase,ant4_00410102030405000000ffff_rssi,ant4_00420102030405000000ffff_phase,ant4_00420102030405000000ffff_rssi,ant4_00430102030405000000ffff_phase,ant4_00430102030405000000ffff_rssi,ant4_00440102030405000000ffff_phase,ant4_00440102030405000000ffff_rssi,ant4_00450102030405000000ffff_phase,ant4_00450102030405000000ffff_rssi,ant4_00460102030405000000ffff_phase,ant4_00460102030405000000ffff_rssi,interaction_id,timestamp
-0.24905519176061394,3.1224064731400243,-0.7636057181365492,-0.1518119004929626,0.04710142135994114,0.9483529024559683,884,62,3005,62,28,70,3006,70,,,166,63,485,68,363,64,,,3553,67,,,4010,66,,,3342,66,1097,68,2940,66,-1,1776476617.571118
-0.1703823698246634,3.1580910904411206,-0.6745465316629535,-0.11918371856782635,0.05146865988621054,0.9558045755344121,2966,63,607,60,4056,68,989,69,,,185,64,506,70,255,62,,,3906,68,,,3,65,3209,66,1171,65,3111,69,903,66,-1,1776476618.5497324
0.07398660562390845,-2.959914102948887,0.5675855382943882,-0.07454181421944768,0.053719647778127544,0.9623725749457152,1027,60,3933,63,3928,68,1047,69,,,146,64,440,70,88,64,,,475,69,,,17,63,2966,64,3223,64,1074,69,3054,64,-1,1776476619.5778837
-0.056532173903132685,-3.055027792431975,0.3308871785142178,-0.03280229887856408,0.057829957336104916,1.002977767766186,1035,62,,,3916,66,1084,69,3154,64,108,62,340,70,30,67,,,722,62,,,,,2984,61,1209,63,3139,70,2927,65,-1,1776476620.6119268
-0.16292158887333458,-3.1330569636300947,0.5213371428488255,0.01158481682322607,0.05654621077390315,0.9876306525117556,919,64,,,3920,68,1071,69,3081,64,47,62,286,68,18,67,,,2791,66,,,,,2507,59,,,1169,66,885,68,-1,1776476621.5353708
-0.21099891882694485,-3.1016075905572,0.8118668341225932,0.04237266661620331,0.05625199657084199,0.9422586470715161,870,63,,,3903,68,965,69,3014,64,209,61,333,68,17,68,,,3242,69,,,,,452,63,,,3089,64,976,68,-1,1776476622.4663122
-0.32967632971331745,-3.1665866405935605,0.8787329792463145,0.07776123168246152,0.05570923598743412,0.9409503170481389,802,62,,,3925,69,3025,68,813,66,161,63,353,65,28,67,,,3355,70,,,,,421,66,,,3014,63,,,-1,1776476623.3892505
0.38847494238399966,2.8305047366873493,-0.8070386508614141,0.10928498161725458,0.05246986711539995,0.9275220622750315,,,,,3976,69,,,2858,67,174,62,325,65,18,67,,,1371,70,,,,,471,64,,,3091,61,997,66,-1,1776476624.2150753
0.4150265444237748,2.8729876325199295,-0.777466914738425,0.13956544708510576,0.05739422229554175,0.9386792128272045,,,,,3974,70,3377,65,2867,67,271,61,390,67,51,67,,,3463,70,,,,,473,66,,,3251,63,3065,66,-1,1776476624.984958
0.4153547823404245,2.816799388884672,-0.6978501442070463,0.1576203882071462,0.06658648991243242,0.9342854424200088,,,,,3995,71,1288,67,766,68,202,61,425,66,51,68,,,3512,68,,,,,343,65,,,3266,64,3023,64,-1,1776476625.8039422
0.3163493455308748,2.8147212392441494,-0.7254217629178538,0.18222836387113694,0.07239358245301618,0.9475002441893167,,,,,3973,71,1218,66,853,68,272,62,442,67,97,66,,,,,,,,,2440,65,,,3326,65,1062,65,-1,1776476626.6212783
0.2526302391811617,2.7402567519278858,-0.6690070383026585,0.20552783696978108,0.08260898107204485,0.947884118571371,,,,,3923,72,3189,66,885,69,,,2513,67,251,68,,,3584,67,,,,,,,3286,63,3544,68,2828,62,-1,1776476627.3357406
0.2527567492138949,2.7250971927851113,-0.6718933101759683,0.21950621441375734,0.09365325568770339,0.9514658137777197,1315,66,,,3989,72,3120,65,3035,69,,,482,68,499,67,,,3617,66,,,,,,,3004,62,3487,70,,,-1,1776476628.106792
-0.2794135479661014,-3.301247753720296,0.7027679016279209,0.21044447028241367,0.11246053380670555,0.9473525466268431,,,,,61,71,1074,66,1104,69,,,570,69,2597,63,,,3424,67,,,,,2746,64,2985,65,1360,68,,,-1,1776476628.8222945
0.2054365369201148,2.8788525667057803,-0.5589680020219653,0.18165460798966132,0.11359139113593048,0.9256076340027054,,,90,64,58,68,1006,67,1199,66,2613,61,720,70,,,,,3242,68,,,,,,,,,3507,65,2806,65,-1,1776476629.6436357
-0.29388724842277386,-2.67838069578107,-0.17347263610598412,0.14378201417243003,0.11491615131538578,0.920557790279993,,,104,65,49,66,3019,68,1213,65,,,640,69,,,,,3183,66,,,,,2706,63,2980,65,3485,66,726,64,-1,1776476630.466759
0.1579189188898667,2.9011701523447275,-0.47995697301706003,0.11944421313328757,0.11219178526469588,0.915807550962716,,,2231,64,92,68,3085,66,3410,64,820,65,453,70,2603,58,,,1311,64,,,,,2557,64,746,65,3337,68,,,-1,1776476631.2338357
-0.1148164905266414,-3.1698170700030315,0.6272256144421117,0.0773984453200729,0.11112909517983043,0.916050058686745,,,,,30,69,1032,65,1238,66,869,64,243,70,539,65,,,,,,,,,492,64,2824,64,3254,68,818,63,-1,1776476632.0584
-0.04192521997257037,-3.2147097573934653,0.5443035237657883,0.04581745140045425,0.11273773781424347,0.9300232983762033,2939,62,,,9,68,3091,66,3298,62,3118,63,283,70,2476,64,,,299,62,,,3923,62,2535,64,2787,67,3214,68,,,-1,1776476632.8260808
0.024200178084470912,-2.9361378648892336,-0.11842719664124748,0.01836476798593785,0.11179947759342128,0.9302849427976297,,,3928,64,170,69,965,67,3909,64,1156,63,2447,71,2522,64,,,,,,,3842,66,,,825,68,3336,70,,,-1,1776476633.7534661
-0.17182758253599448,2.9966299430935783,-0.42242560262064677,-0.03376198681776654,0.11096028842517666,0.934894143005,,,3355,64,245,70,880,68,270,65,3305,58,438,69,361,66,,,1208,65,,,4078,66,,,3088,69,3394,70,858,65,-1,1776476634.628236
0.2610844334031043,-2.9516074550888587,0.41106948678437666,-0.08795136688800881,0.10982643405530017,0.93639200758099,,,3362,63,553,66,847,69,3416,64,648,57,415,69,492,65,,,3343,66,,,212,67,4070,65,3262,69,3543,69,2978,63,-1,1776476635.6052516
0.4670561337611102,-2.9423492945619585,0.5094952465638362,-0.15321822790370698,0.10337202922842874,0.9264052469443769,,,1335,65,,,918,68,1187,67,2768,63,439,71,506,66,,,3500,66,,,443,64,75,65,3312,68,3685,68,1056,64,-1,1776476636.5876567
0.6005750963065227,-3.018619354197369,0.5254480251085202,-0.20634093627857725,0.09969546360722396,0.9503827666870898,,,3321,63,3759,61,862,67,3372,69,808,62,543,71,451,68,,,3568,64,,,548,64,2173,63,3211,67,3871,67,1053,65,-1,1776476637.5216606
0.6815356662783489,-2.933928393223311,0.4737100465140417,-0.2461364411992417,0.09624902709566958,0.9416809875598892,,,3199,62,3671,67,2888,69,1428,71,2755,62,2686,72,430,67,,,,,,,,,,,1132,66,4082,65,2976,67,-1,1776476638.4989705
-0.7490219321965993,3.0313153896421112,-0.4803606384310831,-0.27393091422898364,0.1032220251482449,0.9621946642380417,,,1116,63,3456,65,793,67,1432,70,2658,63,2710,72,2498,67,,,,,,,799,63,,,1179,68,4078,68,3087,67,-1,1776476639.3297198
0.7656320945524765,-3.0003197798475165,0.5679942870812767,-0.2854354506241014,0.11703898609217965,0.9430278859314009,,,3270,63,3523,64,2970,67,1227,69,493,64,607,71,601,67,,,3820,62,,,819,64,,,3248,68,3892,68,1027,65,-1,1776476640.2138774
0.6620533493715144,-2.8894421654260367,0.5079962539717882,-0.2640393232127744,0.13665933121982232,0.9159103328917125,,,1290,65,,,952,68,3145,64,462,65,534,69,2685,66,,,1494,64,,,2538,65,,,3257,69,3816,68,2937,63,-1,1776476641.1403031
-0.6004065446370443,3.1053061513820004,-0.4821327462709273,-0.23040495662116497,0.14681684451391697,0.9335308298079383,,,3293,65,1137,62,2917,69,3428,63,2400,63,503,67,670,66,,,3436,64,,,312,64,,,3097,69,3764,68,703,63,-1,1776476642.0673358
0.5092103902866355,-3.0422621544393342,0.4810928495110241,-0.19553685009015015,0.1521352054845618,0.9266751277039876,,,1208,65,,,899,69,3947,62,135,62,551,66,660,66,,,3389,64,,,188,63,,,2962,69,3741,66,,,-1,1776476643.0437438
-0.43096145088609455,3.165619151887802,-0.4108877040711603,-0.15372515333060993,0.15549127935385962,0.9053253618806799,,,1164,64,160,66,3023,69,47,64,,,632,67,585,66,,,3437,60,,,4077,65,,,2852,68,3705,67,2714,60,-1,1776476643.9279623
