ARM_rx,ARM_ry,ARM_rz,ARM_x,ARM_y,ARM_z,HAND_rx,HAND_ry,HAND_rz,HAND_x,HAND_y,HAND_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,timestamp
0.06854392622827334,-3.082293966058404,0.7394724192853475,-0.2360853475137387,-0.1801532625587563,1.276518459848699,0.3098569599105464,-2.698935278300436,0.91867160375226,-0.22683271936378838,-0.08144117063294784,1.1296223646858694,3232,65,2365,67,3899,71,256,63,3640,63,,,3535,60,3464,61,1778567618.2333894
0.04663487020680559,-3.1677194725112487,0.7548497189399141,-0.21252884890483104,-0.18958688487675426,1.3004269126392765,-0.3624118286971362,3.1357087694972705,-1.081981533259625,-0.20419971865226766,-0.08960157058092946,1.1540878707514077,3248,66,372,67,3884,70,273,66,1603,60,,,3503,61,2806,66,1778567618.7951787
-0.06994809574861277,-3.1518711392958774,0.8637545091787291,-0.18009906750558594,-0.17818748584703226,1.23863665829368,0.2061341323518039,-2.7555737928512376,0.9635364066453417,-0.17763342994309184,-0.08693290316784617,1.1668494327137056,1153,65,413,67,3874,70,395,64,1632,60,,,1302,62,1006,65,1778567619.3584323
-0.23251267995212727,-3.138624411863604,0.7654630292572987,-0.16223042140855048,-0.16514493954111986,1.2392678846424174,0.0536127797506715,-2.808064075288246,1.085217456964035,-0.14412451141969784,-0.0719947778473782,1.133591056890866,1142,66,398,68,3936,71,978,62,3679,62,,,1158,62,1183,65,1778567619.9133258
-0.29999876628218874,-3.115165230093767,0.7260620168928108,-0.15176568754122244,-0.1494232332839901,1.2086586094044152,-0.008231151102463483,-2.8388988788379352,1.0812322981627795,-0.13050910010564082,-0.05912352857680054,1.1121543196215466,3125,67,341,67,3997,72,3613,65,1741,62,,,896,62,1325,68,1778567620.4807916
0.3131671059973708,2.9564944410495415,-0.6607027362804229,-0.14199278114802025,-0.13592992688262598,1.2016458919126087,-0.0023537724698964747,-2.838852882151106,1.0459019222630024,-0.12028489846732458,-0.045379337439907345,1.1064540383521673,979,69,308,68,4022,73,3883,69,1710,62,,,740,64,3504,69,1778567621.04723
-0.37885723743188726,-3.1201063860535565,0.6655109970066636,-0.1374496930998201,-0.11796522086874349,1.190722141903685,-0.007980733317229783,-2.8661631271861414,0.9716743660578288,-0.11276579923415958,-0.02826274696507901,1.0918886947796844,2951,69,207,67,4014,74,3907,70,1665,62,32,62,596,64,3557,67,1778567621.601586
-0.3878803559889143,-3.171439621989325,0.5513211377196602,-0.1352183676649209,-0.10327532054594239,1.2034321864231547,-0.03706594074009606,-2.882276802853603,0.9591831374661621,-0.1072888814867114,-0.011387243257635389,1.0935942836498318,805,70,94,65,3981,74,1692,68,1597,63,94,58,520,65,3575,66,1778567622.2122676
0.4255652906562227,2.9435506377992997,-0.6127863020177695,-0.12338196397774778,-0.08139270169842056,1.1724049992725714,-0.1309530598070877,-2.9216329758127526,0.901385825992115,-0.09354369689496787,0.009493833320602189,1.0670792189682639,725,70,106,64,1892,74,3453,66,3599,63,,,376,66,3484,65,1778567622.8166864
-0.47836789781043443,-3.205127368176766,0.5386187914267279,-0.10811862511841303,-0.05742075905313215,1.1610563021912947,-0.26215059601242324,-2.95359696877502,0.8553037954576663,-0.07423145128323622,0.03366737720449239,1.058405246390809,637,70,42,66,3896,74,3257,65,,,,,303,68,3526,62,1778567623.3206208
